Conteggio,Minutes
1,17.0
2,50.0
1,53.0
1,66.0
2,69.0
1,74.0
1,104.0
1,113.0
1,123.0
1,135.0
2,180.0
1,191.0
1,205.0
2,210.0
4,221.0
2,224.0
1,241.0
1,269.0
1,270.0
1,276.0
2,307.0
1,314.0
1,333.0
1,343.0
18,360.0
1,380.0
66,390.0
1,395.0
1,396.0
1,401.0
1,413.0
62,420.0
1,423.0
1,426.0
1,427.0
1,430.0
2,433.0
3,435.0
2,440.0
1,446.0
16,450.0
1,458.0
158,480.0
1,486.0
2,497.0
4,499.0
1,501.0
1,503.0
10,507.0
41,510.0
203,518.0
1,519.0
223,531.0
151,540.0
1,544.0
1,546.0
1,547.0
1,552.0
1,554.0
34,570.0
1,577.0
1,584.0
3,586.0
120,600.0
3,605.0
1,612.0
1,615.0
1,616.0
2,618.0
1,627.0
22,630.0
1,642.0
1,654.0
3,658.0
72,660.0
2,664.0
2,665.0
1,668.0
1,680.0
2,687.0
1,689.0
21,690.0
1,692.0
1,701.0
116,720.0
1,734.0
1,735.0
1,738.0
1,744.0
32,750.0
1,756.0
1,761.0
1,762.0
1,763.0
1,767.0
4,768.0
54,780.0
1,781.0
1,783.0
1,794.0
1,796.0
1,797.0
1,803.0
1,807.0
1,809.0
17,810.0
1,812.0
1,820.0
1,830.0
1,839.0
57,840.0
1,847.0
1,857.0
4,870.0
4,876.0
1,883.0
1,886.0
1,890.0
1,894.0
2,899.0
51,900.0
2,910.0
2,911.0
1,915.0
1,920.0
1,926.0
1,927.0
5,930.0
1,932.0
1,938.0
1,943.0
2,948.0
9,960.0
1,962.0
1,966.0
1,969.0
1,970.0
1,976.0
1,979.0
3,990.0
1,991.0
2,993.0
1,1000.0
1,1001.0
2,1005.0
1,1015.0
1,1016.0
1,1018.0
1,1020.0
1,1025.0
1,1026.0
2,1034.0
3,1035.0
1,1039.0
1,1040.0
2,1044.0
2,1050.0
2,1057.0
1,1073.0
1,1076.0
2,1079.0
4,1080.0
1,1083.0
1,1084.0
3,1087.0
1,1088.0
1,1102.0
2,1104.0
2,1107.0
2,1110.0
1,1111.0
1,1115.0
1,1119.0
2,1125.0
1,1137.0
4,1140.0
1,1143.0
1,1146.0
2,1148.0
3,1154.0
1,1156.0
1,1160.0
1,1181.0
2,1222.0
1,1228.0
1,1230.0
2,1238.0
1,1253.0
2,1260.0
1,1268.0
2,1285.0
2,1286.0
1,1289.0
2,1297.0
2,1298.0
2,1299.0
1,1311.0
1,1320.0
1,1350.0
1,1352.0
1,1360.0
1,1365.0
1,1367.0
1,1374.0
1,1410.0
1,1423.0
1,1424.0
