Nome Reparto,Min,Conteggio
1,1146,1
10,50,1
10,69,1
10,221,2
10,307,1
10,433,1
10,440,1
10,497,1
10,499,1
10,510,1
10,586,1
10,605,1
10,658,1
10,664,1
10,665,1
10,687,1
10,768,2
10,781,1
10,876,2
10,890,1
10,910,1
10,911,1
10,930,1
10,1034,1
10,1044,1
10,1057,1
10,1088,1
10,1104,1
10,1107,1
10,1125,1
10,1222,1
10,1253,1
10,1286,1
10,1297,1
10,1298,1
10,1299,1
10,1352,1
10,1367,1
10,1424,1
10b,480,2
10b,540,1
10b,570,2
10b,600,1
10b,660,1
11n,420,2
11n,423,1
11n,435,1
11n,450,1
11n,480,19
11n,510,4
11n,540,8
11n,547,1
11n,600,4
11n,720,1
11n,966,1
11n,1005,1
11n,1015,1
11n,1084,1
11n,1087,1
11n,1148,1
11n,1154,1
11n,1228,1
11s,135,1
11s,241,1
11s,420,1
11s,480,1
11s,540,1
11s,627,1
11s,692,1
11s,734,1
11s,738,1
11s,750,1
11s,796,1
11s,820,1
11s,857,1
11s,894,1
11s,899,1
11s,932,1
11s,991,1
11s,993,1
11s,1137,1
11s,1148,1
11s,1181,1
11s,1238,1
11s,1285,1
13,480,5
14,480,5
14,510,1
14,600,4
14,660,1
14,780,1
15,360,1
15,390,1
15,480,3
15,540,6
15,570,1
15,600,1
15,900,1
15,1110,1
19,180,2
19,360,1
19,390,11
19,420,1
19,450,2
19,480,10
19,540,2
19,570,1
19,660,1
19,735,1
19,762,1
19,809,1
19,930,1
19,970,1
19,1040,1
23,360,1
23,390,2
23,480,3
23,510,1
23,570,1
23,720,2
23,750,2
23,840,3
23,960,1
23,1320,1
24,360,3
24,480,3
24,540,1
24,870,1
24,900,16
24,960,4
25/1,540,1
3,360,1
3,390,3
3,420,6
3,480,1
3,540,1
3,780,2
3,840,4
3,1080,1
4,360,1
4,390,26
5s,390,4
6,74,1
6,205,1
6,210,1
6,224,1
6,270,1
6,276,1
6,360,9
6,390,19
6,413,1
6,420,49
6,427,1
6,446,1
6,450,6
6,480,95
6,499,1
6,507,10
6,510,28
6,518,203
6,531,223
6,540,123
6,570,28
6,577,1
6,600,107
6,612,1
6,618,1
6,630,15
6,654,1
6,660,66
6,680,1
6,690,17
6,720,59
6,750,18
6,780,41
6,783,1
6,807,1
6,810,7
6,840,25
6,870,3
6,883,1
6,886,1
6,900,20
6,920,1
6,927,1
6,930,1
6,938,1
6,960,4
6,969,1
6,976,1
6,990,3
6,1001,1
6,1018,1
6,1026,1
6,1035,1
6,1039,1
6,1050,1
6,1079,2
6,1080,3
6,1083,1
6,1087,1
6,1110,1
6,1119,1
6,1140,1
6,1143,1
6,1156,1
6,1160,1
6,1230,1
6,1260,2
6,1268,1
6,1350,1
7,480,1
7,544,1
7,546,1
7,554,1
7,720,9
7,750,9
7,780,9
7,810,10
